[2026-05-21T16:47:28.540Z] Extension activated. Workspace: c:\demo-helper
[2026-05-21T16:48:57.910Z] applyHighlights: no active editor
[2026-05-21T16:48:58.418Z] applyHighlights: no active editor
[2026-05-21T16:48:58.931Z] applyHighlights: no active editor
[2026-05-21T16:48:59.451Z] applyHighlights: no active editor
[2026-05-21T16:48:59.967Z] applyHighlights: no active editor
[2026-05-21T16:49:00.475Z] applyHighlights: no active editor
[2026-05-21T16:49:00.984Z] applyHighlights: no active editor
[2026-05-21T16:49:01.486Z] applyHighlights: no active editor
[2026-05-21T16:49:01.999Z] applyHighlights: no active editor
[2026-05-21T16:49:02.501Z] applyHighlights: no active editor
[2026-05-21T16:49:03.015Z] applyHighlights: no active editor
[2026-05-21T16:49:03.531Z] applyHighlights: no active editor
[2026-05-21T16:49:04.056Z] applyHighlights: no active editor
[2026-05-21T16:49:04.564Z] applyHighlights: no active editor
[2026-05-21T16:49:05.065Z] applyHighlights: no active editor
[2026-05-21T16:49:05.577Z] applyHighlights: no active editor
[2026-05-21T16:49:06.089Z] applyHighlights: no active editor
[2026-05-21T16:49:06.603Z] applyHighlights: no active editor
[2026-05-21T16:49:07.104Z] applyHighlights: no active editor
[2026-05-21T16:49:07.617Z] applyHighlights: no active editor
[2026-05-21T16:49:08.134Z] applyHighlights: no active editor
[2026-05-21T16:49:08.643Z] applyHighlights: no active editor
[2026-05-21T16:49:09.144Z] applyHighlights: no active editor
[2026-05-21T16:49:09.648Z] applyHighlights: no active editor
[2026-05-21T16:49:10.147Z] applyHighlights: no active editor
[2026-05-21T16:49:10.651Z] applyHighlights: no active editor
[2026-05-21T16:49:11.154Z] applyHighlights: no active editor
[2026-05-21T16:49:11.654Z] applyHighlights: no active editor
[2026-05-21T16:49:12.155Z] applyHighlights: no active editor
[2026-05-21T16:49:12.656Z] applyHighlights: no active editor
[2026-05-21T16:49:13.169Z] applyHighlights: no active editor
[2026-05-21T16:49:13.669Z] applyHighlights: no active editor
[2026-05-21T16:49:14.186Z] applyHighlights: no active editor
[2026-05-21T16:49:14.700Z] applyHighlights: no active editor
[2026-05-21T16:49:15.200Z] applyHighlights: no active editor
[2026-05-21T16:49:15.702Z] applyHighlights: no active editor
[2026-05-21T16:49:16.203Z] applyHighlights: no active editor
[2026-05-21T16:49:16.705Z] applyHighlights: no active editor
[2026-05-21T16:49:17.207Z] applyHighlights: no active editor
[2026-05-21T16:49:17.719Z] applyHighlights: no active editor
[2026-05-21T16:49:18.234Z] applyHighlights: no active editor
[2026-05-21T16:49:18.736Z] applyHighlights: no active editor
[2026-05-21T16:49:19.237Z] applyHighlights: no active editor
[2026-05-21T16:49:19.736Z] applyHighlights: no active editor
[2026-05-21T16:49:20.239Z] applyHighlights: no active editor
[2026-05-21T16:49:20.743Z] applyHighlights: no active editor
[2026-05-21T16:49:21.252Z] applyHighlights: no active editor
[2026-05-21T16:49:21.769Z] applyHighlights: no active editor
[2026-05-21T16:49:22.283Z] applyHighlights: no active editor
[2026-05-21T16:49:22.783Z] applyHighlights: no active editor
[2026-05-21T16:49:23.297Z] applyHighlights: no active editor
[2026-05-21T16:49:23.799Z] applyHighlights: no active editor
[2026-05-21T16:49:24.314Z] applyHighlights: no active editor
[2026-05-21T16:49:24.818Z] applyHighlights: no active editor
[2026-05-21T16:49:25.324Z] applyHighlights: no active editor
[2026-05-21T16:49:25.824Z] applyHighlights: no active editor
[2026-05-21T16:49:26.323Z] applyHighlights: no active editor
[2026-05-21T16:49:26.839Z] applyHighlights: no active editor
[2026-05-21T16:49:27.344Z] applyHighlights: no active editor
[2026-05-21T16:49:27.844Z] applyHighlights: no active editor
[2026-05-21T16:49:28.349Z] applyHighlights: no active editor
[2026-05-21T16:49:28.861Z] applyHighlights: no active editor
[2026-05-21T16:49:29.379Z] applyHighlights: no active editor
[2026-05-21T16:49:29.892Z] applyHighlights: no active editor
[2026-05-21T16:49:30.393Z] applyHighlights: no active editor
[2026-05-21T16:49:30.896Z] applyHighlights: no active editor
[2026-05-21T16:49:31.398Z] applyHighlights: no active editor
[2026-05-21T16:49:31.898Z] applyHighlights: no active editor
[2026-05-21T16:49:32.413Z] applyHighlights: no active editor
[2026-05-21T16:49:32.928Z] applyHighlights: no active editor
[2026-05-21T16:49:33.428Z] applyHighlights: no active editor
[2026-05-21T16:49:33.942Z] applyHighlights: no active editor
[2026-05-21T16:49:34.442Z] applyHighlights: no active editor
[2026-05-21T16:49:34.957Z] applyHighlights: no active editor
[2026-05-21T16:49:35.470Z] applyHighlights: no active editor
[2026-05-21T16:49:35.984Z] applyHighlights: no active editor
[2026-05-21T16:49:36.495Z] applyHighlights: no active editor
[2026-05-21T16:49:36.996Z] applyHighlights: no active editor
[2026-05-21T16:49:37.501Z] applyHighlights: no active editor
[2026-05-21T16:49:38.004Z] applyHighlights: no active editor
[2026-05-21T16:49:38.518Z] applyHighlights: no active editor
[2026-05-21T16:49:39.019Z] applyHighlights: no active editor
[2026-05-21T16:49:39.521Z] applyHighlights: no active editor
[2026-05-21T16:49:40.035Z] applyHighlights: no active editor
[2026-05-21T16:49:40.550Z] applyHighlights: no active editor
[2026-05-21T16:49:41.051Z] applyHighlights: no active editor
[2026-05-21T16:49:41.560Z] applyHighlights: no active editor
[2026-05-21T16:49:42.062Z] applyHighlights: no active editor
[2026-05-21T16:49:42.561Z] applyHighlights: no active editor
[2026-05-21T16:49:43.061Z] applyHighlights: no active editor
[2026-05-21T16:49:43.562Z] applyHighlights: no active editor
[2026-05-21T16:49:44.078Z] applyHighlights: no active editor
[2026-05-21T16:49:44.592Z] applyHighlights: no active editor
[2026-05-21T16:49:45.107Z] applyHighlights: no active editor
[2026-05-21T16:49:45.608Z] applyHighlights: no active editor
[2026-05-21T16:49:46.109Z] applyHighlights: no active editor
[2026-05-21T16:49:46.624Z] applyHighlights: no active editor
[2026-05-21T16:49:47.122Z] applyHighlights: no active editor
[2026-05-21T16:49:47.638Z] applyHighlights: no active editor
[2026-05-21T16:49:48.150Z] applyHighlights: no active editor
[2026-05-21T16:49:48.653Z] applyHighlights: no active editor
[2026-05-21T16:49:49.156Z] applyHighlights: no active editor
[2026-05-21T16:49:49.657Z] applyHighlights: no active editor
[2026-05-21T16:49:50.170Z] applyHighlights: no active editor
[2026-05-21T16:49:50.683Z] applyHighlights: no active editor
[2026-05-21T16:49:51.186Z] applyHighlights: no active editor
[2026-05-21T16:49:51.702Z] applyHighlights: no active editor
[2026-05-21T16:49:52.213Z] applyHighlights: no active editor
[2026-05-21T16:49:52.713Z] applyHighlights: no active editor
[2026-05-21T16:49:53.220Z] applyHighlights: no active editor
[2026-05-21T16:49:53.723Z] applyHighlights: no active editor
[2026-05-21T16:49:54.223Z] applyHighlights: no active editor
[2026-05-21T16:49:54.729Z] applyHighlights: no active editor
[2026-05-21T16:49:55.243Z] applyHighlights: no active editor
[2026-05-21T16:49:55.746Z] applyHighlights: no active editor
[2026-05-21T16:49:56.248Z] applyHighlights: no active editor
[2026-05-21T16:49:56.762Z] applyHighlights: no active editor
[2026-05-21T16:49:57.263Z] applyHighlights: no active editor
[2026-05-21T16:49:57.778Z] applyHighlights: no active editor
[2026-05-21T16:49:58.292Z] applyHighlights: no active editor
[2026-05-21T16:49:58.805Z] applyHighlights: no active editor
[2026-05-21T16:49:59.322Z] applyHighlights: no active editor
[2026-05-21T16:49:59.823Z] applyHighlights: no active editor
[2026-05-21T16:50:00.327Z] applyHighlights: no active editor
[2026-05-21T16:50:00.842Z] applyHighlights: no active editor
[2026-05-21T16:50:01.355Z] applyHighlights: no active editor
[2026-05-21T16:50:01.857Z] applyHighlights: no active editor
[2026-05-21T16:50:02.357Z] applyHighlights: no active editor
[2026-05-21T16:50:02.872Z] applyHighlights: no active editor
[2026-05-21T16:50:03.384Z] applyHighlights: no active editor
[2026-05-21T16:50:03.899Z] applyHighlights: no active editor
[2026-05-21T16:50:04.401Z] applyHighlights: no active editor
[2026-05-21T16:50:04.902Z] applyHighlights: no active editor
[2026-05-21T16:50:05.417Z] applyHighlights: no active editor
[2026-05-21T16:50:05.930Z] applyHighlights: no active editor
[2026-05-21T16:50:06.431Z] applyHighlights: no active editor
[2026-05-21T16:50:06.931Z] applyHighlights: no active editor
[2026-05-21T16:50:07.445Z] applyHighlights: no active editor
[2026-05-21T16:50:07.948Z] applyHighlights: no active editor
[2026-05-21T16:50:08.453Z] applyHighlights: no active editor
[2026-05-21T16:50:08.966Z] applyHighlights: no active editor
[2026-05-21T16:50:09.468Z] applyHighlights: no active editor
[2026-05-21T16:50:09.969Z] applyHighlights: no active editor
[2026-05-21T16:50:10.470Z] applyHighlights: no active editor
[2026-05-21T16:50:10.970Z] applyHighlights: no active editor
[2026-05-21T16:50:11.486Z] applyHighlights: no active editor
[2026-05-21T16:50:11.986Z] applyHighlights: no active editor
[2026-05-21T16:50:12.490Z] applyHighlights: no active editor
[2026-05-21T16:50:13.004Z] applyHighlights: no active editor
[2026-05-21T16:50:13.519Z] applyHighlights: no active editor
[2026-05-21T16:50:14.024Z] applyHighlights: no active editor
[2026-05-21T16:50:14.524Z] applyHighlights: no active editor
[2026-05-21T16:50:15.038Z] applyHighlights: no active editor
[2026-05-21T16:50:15.546Z] applyHighlights: no active editor
[2026-05-21T16:50:16.047Z] applyHighlights: no active editor
[2026-05-21T16:50:16.553Z] applyHighlights: no active editor
[2026-05-21T16:50:17.058Z] applyHighlights: no active editor
[2026-05-21T16:50:17.560Z] applyHighlights: no active editor
[2026-05-21T16:50:18.072Z] applyHighlights: no active editor
[2026-05-21T16:50:18.586Z] applyHighlights: no active editor
[2026-05-21T16:50:19.093Z] applyHighlights: no active editor
[2026-05-21T16:50:19.594Z] applyHighlights: no active editor
[2026-05-21T16:50:20.107Z] applyHighlights: no active editor
[2026-05-21T16:50:20.613Z] applyHighlights: no active editor
[2026-05-21T16:50:21.114Z] applyHighlights: no active editor
[2026-05-21T16:50:21.616Z] applyHighlights: no active editor
[2026-05-21T16:50:22.129Z] applyHighlights: no active editor
[2026-05-21T16:50:22.630Z] applyHighlights: no active editor
[2026-05-21T16:50:23.135Z] applyHighlights: no active editor
[2026-05-21T16:50:23.642Z] applyHighlights: no active editor
[2026-05-21T16:50:24.159Z] applyHighlights: no active editor
[2026-05-21T16:50:24.664Z] applyHighlights: no active editor
[2026-05-21T16:50:25.177Z] applyHighlights: no active editor
[2026-05-21T16:50:25.681Z] applyHighlights: no active editor
[2026-05-21T16:50:26.182Z] applyHighlights: no active editor
[2026-05-21T16:50:26.684Z] applyHighlights: no active editor
[2026-05-21T16:50:27.186Z] applyHighlights: no active editor
[2026-05-21T16:50:27.701Z] applyHighlights: no active editor
[2026-05-21T16:50:28.202Z] applyHighlights: no active editor
[2026-05-21T16:50:28.705Z] applyHighlights: no active editor
[2026-05-21T16:50:29.211Z] applyHighlights: no active editor
[2026-05-21T16:50:29.716Z] applyHighlights: no active editor
[2026-05-21T16:50:30.218Z] applyHighlights: no active editor
[2026-05-21T16:50:30.724Z] applyHighlights: no active editor
[2026-05-21T16:50:31.238Z] applyHighlights: no active editor
[2026-05-21T16:50:31.741Z] applyHighlights: no active editor
[2026-05-21T16:50:32.245Z] applyHighlights: no active editor
[2026-05-21T16:50:32.759Z] applyHighlights: no active editor
[2026-05-21T16:50:33.273Z] applyHighlights: no active editor
[2026-05-21T16:50:33.790Z] applyHighlights: no active editor
[2026-05-21T16:50:34.294Z] applyHighlights: no active editor
[2026-05-21T16:50:34.799Z] applyHighlights: no active editor
[2026-05-21T16:50:35.314Z] applyHighlights: no active editor
[2026-05-21T16:50:35.828Z] applyHighlights: no active editor
[2026-05-21T16:50:36.342Z] applyHighlights: no active editor
[2026-05-21T16:50:36.857Z] applyHighlights: no active editor
[2026-05-21T16:50:37.362Z] applyHighlights: no active editor
[2026-05-21T16:50:37.864Z] applyHighlights: no active editor
[2026-05-21T16:50:38.367Z] applyHighlights: no active editor
[2026-05-21T16:50:38.883Z] applyHighlights: no active editor
[2026-05-21T16:50:39.387Z] applyHighlights: no active editor
[2026-05-21T16:50:39.903Z] applyHighlights: no active editor
[2026-05-21T16:50:40.417Z] applyHighlights: no active editor
[2026-05-21T16:50:40.920Z] applyHighlights: no active editor
[2026-05-21T16:50:41.421Z] applyHighlights: no active editor
[2026-05-21T16:50:41.927Z] applyHighlights: no active editor
[2026-05-21T16:50:42.428Z] applyHighlights: no active editor
[2026-05-21T16:50:42.928Z] applyHighlights: no active editor
[2026-05-21T16:50:43.429Z] applyHighlights: no active editor
[2026-05-21T16:50:43.946Z] applyHighlights: no active editor
[2026-05-21T16:50:44.461Z] applyHighlights: no active editor
[2026-05-21T16:50:44.964Z] applyHighlights: no active editor
[2026-05-21T16:50:45.463Z] applyHighlights: no active editor
[2026-05-21T16:50:45.968Z] applyHighlights: no active editor
[2026-05-21T16:50:46.469Z] applyHighlights: no active editor
[2026-05-21T16:50:46.968Z] applyHighlights: no active editor
[2026-05-21T16:50:47.483Z] applyHighlights: no active editor
[2026-05-21T16:50:47.986Z] applyHighlights: no active editor
[2026-05-21T16:50:48.486Z] applyHighlights: no active editor
[2026-05-21T16:50:49.001Z] applyHighlights: no active editor
[2026-05-21T16:50:49.503Z] applyHighlights: no active editor
[2026-05-21T16:50:50.017Z] applyHighlights: no active editor
[2026-05-21T16:50:50.530Z] applyHighlights: no active editor
[2026-05-21T16:50:51.033Z] applyHighlights: no active editor
[2026-05-21T16:50:51.533Z] applyHighlights: no active editor
[2026-05-21T16:50:52.046Z] applyHighlights: no active editor
[2026-05-21T16:50:52.545Z] applyHighlights: no active editor
[2026-05-21T16:50:53.061Z] applyHighlights: no active editor
[2026-05-21T16:50:53.575Z] applyHighlights: no active editor
[2026-05-21T16:50:54.075Z] applyHighlights: no active editor
[2026-05-21T16:50:54.577Z] applyHighlights: no active editor
[2026-05-21T16:50:55.084Z] applyHighlights: no active editor
[2026-05-21T16:50:55.585Z] applyHighlights: no active editor
[2026-05-21T16:50:56.085Z] applyHighlights: no active editor
[2026-05-21T16:50:56.598Z] applyHighlights: no active editor
[2026-05-21T16:50:57.100Z] applyHighlights: no active editor
[2026-05-21T16:50:57.601Z] applyHighlights: no active editor
[2026-05-21T16:50:58.103Z] applyHighlights: no active editor
[2026-05-21T16:50:58.633Z] applyHighlights: no active editor
[2026-05-21T16:50:59.113Z] applyHighlights: no active editor
[2026-05-21T16:50:59.615Z] applyHighlights: no active editor
[2026-05-21T16:51:00.117Z] applyHighlights: no active editor
[2026-05-21T16:51:00.623Z] applyHighlights: no active editor
[2026-05-21T16:51:01.123Z] applyHighlights: no active editor
[2026-05-21T16:51:01.627Z] applyHighlights: no active editor
[2026-05-21T16:51:02.129Z] applyHighlights: no active editor
[2026-05-21T16:51:02.627Z] applyHighlights: no active editor
[2026-05-21T16:51:03.129Z] applyHighlights: no active editor
[2026-05-21T16:51:03.638Z] applyHighlights: no active editor
[2026-05-21T16:51:04.141Z] applyHighlights: no active editor
[2026-05-21T16:51:04.641Z] applyHighlights: no active editor
[2026-05-21T16:51:05.144Z] applyHighlights: no active editor
[2026-05-21T16:51:05.647Z] applyHighlights: no active editor
[2026-05-21T16:51:06.149Z] applyHighlights: no active editor
[2026-05-21T16:51:06.654Z] applyHighlights: no active editor
[2026-05-21T16:51:07.160Z] applyHighlights: no active editor
[2026-05-21T16:51:07.667Z] applyHighlights: no active editor
[2026-05-21T16:51:08.180Z] applyHighlights: no active editor
[2026-05-21T16:51:08.681Z] applyHighlights: no active editor
[2026-05-21T16:51:09.186Z] applyHighlights: no active editor
[2026-05-21T16:51:09.690Z] applyHighlights: no active editor
[2026-05-21T16:51:10.193Z] applyHighlights: no active editor
[2026-05-21T16:51:10.694Z] applyHighlights: no active editor
[2026-05-21T16:51:11.202Z] applyHighlights: no active editor
[2026-05-21T16:51:11.706Z] applyHighlights: no active editor
[2026-05-21T16:51:12.209Z] applyHighlights: no active editor
[2026-05-21T16:51:12.712Z] applyHighlights: no active editor
[2026-05-21T16:51:13.218Z] applyHighlights: no active editor
[2026-05-21T16:51:13.722Z] applyHighlights: no active editor
[2026-05-21T16:51:14.237Z] applyHighlights: no active editor
[2026-05-21T16:51:14.736Z] applyHighlights: no active editor
[2026-05-21T16:51:15.238Z] applyHighlights: no active editor
[2026-05-21T16:51:15.737Z] applyHighlights: no active editor
[2026-05-21T16:51:16.249Z] applyHighlights: no active editor
[2026-05-21T16:51:16.763Z] applyHighlights: no active editor
[2026-05-21T16:51:17.268Z] applyHighlights: no active editor
[2026-05-21T16:51:17.770Z] applyHighlights: no active editor
[2026-05-21T16:51:18.271Z] applyHighlights: no active editor
[2026-05-21T16:51:18.777Z] applyHighlights: no active editor
[2026-05-21T16:51:19.279Z] applyHighlights: no active editor
[2026-05-21T16:51:19.780Z] applyHighlights: no active editor
[2026-05-21T16:51:20.281Z] applyHighlights: no active editor
[2026-05-21T16:51:20.786Z] applyHighlights: no active editor
[2026-05-21T16:51:21.290Z] applyHighlights: no active editor
[2026-05-21T16:51:21.795Z] applyHighlights: no active editor
[2026-05-21T16:51:22.296Z] applyHighlights: no active editor
[2026-05-21T16:51:22.799Z] applyHighlights: no active editor
[2026-05-21T16:51:23.303Z] applyHighlights: no active editor
[2026-05-21T16:51:23.804Z] applyHighlights: no active editor
[2026-05-21T16:51:24.309Z] applyHighlights: no active editor
[2026-05-21T16:51:24.821Z] applyHighlights: no active editor
[2026-05-21T16:51:25.324Z] applyHighlights: no active editor
[2026-05-21T16:51:25.828Z] applyHighlights: no active editor
[2026-05-21T16:51:26.327Z] applyHighlights: no active editor
[2026-05-21T16:51:26.836Z] applyHighlights: no active editor
[2026-05-21T16:51:27.335Z] applyHighlights: no active editor
[2026-05-21T16:51:27.840Z] applyHighlights: no active editor
[2026-05-21T16:51:28.346Z] applyHighlights: no active editor
[2026-05-21T16:51:28.848Z] applyHighlights: no active editor
[2026-05-21T16:51:29.359Z] applyHighlights: no active editor
[2026-05-21T16:51:29.862Z] applyHighlights: no active editor
[2026-05-21T16:51:30.368Z] applyHighlights: no active editor
[2026-05-21T16:51:30.869Z] applyHighlights: no active editor
[2026-05-21T16:51:31.370Z] applyHighlights: no active editor
[2026-05-21T16:51:31.876Z] applyHighlights: no active editor
[2026-05-21T16:51:32.385Z] applyHighlights: no active editor
[2026-05-21T16:51:32.885Z] applyHighlights: no active editor
[2026-05-21T16:51:33.383Z] applyHighlights: no active editor
[2026-05-21T16:51:33.888Z] applyHighlights: no active editor
[2026-05-21T16:51:34.398Z] applyHighlights: no active editor
[2026-05-21T16:51:34.900Z] applyHighlights: no active editor
[2026-05-21T16:51:35.404Z] applyHighlights: no active editor
[2026-05-21T16:51:35.906Z] applyHighlights: no active editor
[2026-05-21T16:51:36.417Z] applyHighlights: no active editor
[2026-05-21T16:51:36.920Z] applyHighlights: no active editor
[2026-05-21T16:51:37.431Z] applyHighlights: no active editor
[2026-05-21T16:51:37.944Z] applyHighlights: no active editor
[2026-05-21T16:51:38.460Z] applyHighlights: no active editor
[2026-05-21T16:51:38.962Z] applyHighlights: no active editor
[2026-05-21T16:51:39.464Z] applyHighlights: no active editor
[2026-05-21T16:51:39.965Z] applyHighlights: no active editor
[2026-05-21T16:51:40.477Z] applyHighlights: no active editor
[2026-05-21T16:51:40.982Z] applyHighlights: no active editor
[2026-05-21T16:51:41.485Z] applyHighlights: no active editor
[2026-05-21T16:51:41.988Z] applyHighlights: no active editor
[2026-05-21T16:51:42.494Z] applyHighlights: no active editor
[2026-05-21T16:51:43.009Z] applyHighlights: no active editor
[2026-05-21T16:51:43.525Z] applyHighlights: no active editor
[2026-05-21T16:51:44.024Z] applyHighlights: no active editor
[2026-05-21T16:51:44.536Z] applyHighlights: no active editor
[2026-05-21T16:51:45.039Z] applyHighlights: no active editor
[2026-05-21T16:51:45.554Z] applyHighlights: no active editor
[2026-05-21T16:51:46.057Z] applyHighlights: no active editor
[2026-05-21T16:51:46.560Z] applyHighlights: no active editor
[2026-05-21T16:51:47.075Z] applyHighlights: no active editor
[2026-05-21T16:51:47.583Z] applyHighlights: no active editor
[2026-05-21T16:51:48.092Z] applyHighlights: no active editor
[2026-05-21T16:51:48.593Z] applyHighlights: no active editor
[2026-05-21T16:51:49.094Z] applyHighlights: no active editor
[2026-05-21T16:51:49.593Z] applyHighlights: no active editor
[2026-05-21T16:51:50.108Z] applyHighlights: no active editor
[2026-05-21T16:51:50.608Z] applyHighlights: no active editor
[2026-05-21T16:51:51.109Z] applyHighlights: no active editor
[2026-05-21T16:51:51.625Z] applyHighlights: no active editor
[2026-05-21T16:51:52.137Z] applyHighlights: no active editor
[2026-05-21T16:51:52.641Z] applyHighlights: no active editor
[2026-05-21T16:51:53.143Z] applyHighlights: no active editor
